lat,lon,temp_c,humidity,pressure_mb,windspeed_kph,aqi_index,pm2_5,pm10,co,no2
28.7041,77.1025,7.4,100,990.5,3.9,199,171.4,175.1,1711,40.4
28.7041,77.1025,7.6,99,990.6,5.3,199,167.2,170.9,1612,33.1
28.7041,77.1025,7.4,99,990.8,6.2,199,168.1,171.8,1603,29.7
28.7041,77.1025,7.7,100,991.4,4.1,200,163.0,167.2,1778,34.2
28.7041,77.1025,13.9,88,993.9,1.8,204,136.4,143.9,1980,29.1
28.7041,77.1025,16.8,77,992.8,2.4,204,111.5,121.5,1761,23.3
28.7041,77.1025,18.6,69,991.7,2.9,204,94.3,106.4,1505,17.9
28.7041,77.1025,19.5,66,990.9,3.7,204,83.4,96.4,1410,18.5
28.7041,77.1025,19.7,64,990.4,3.7,203,79.4,91.7,1632,29.9
28.5562,77.1,9.1,94,989.7,4.5,196,190.9,194.6,1967,78.2
28.5562,77.1,8.9,94,989.4,3.4,197,182.1,185.8,1843,67.0
28.5562,77.1,8.3,96,989.0,4.3,198,175.1,178.8,1738,56.6
28.5562,77.1,8.1,97,989.0,4.3,198,169.0,172.3,1652,47.1
28.5562,77.1,7.9,99,989.0,4.4,199,163.0,166.2,1586,38.5
28.5562,77.1,7.7,100,989.2,5.1,199,166.2,169.5,1613,36.0
28.5562,77.1,8.1,98,989.9,3.8,200,160.7,164.4,1831,40.7
28.5562,77.1,14.6,84,992.2,2.8,206,136.4,143.4,1942,34.9
28.5562,77.1,17.0,71,991.2,3.4,206,110.6,119.7,1719,27.7
28.5562,77.1,18.6,64,990.2,3.6,206,92.2,102.9,1482,20.8
28.5562,77.1,19.4,62,989.3,3.6,206,83.1,93.8,1427,21.5
